,japanese,English
0,行く,iku - go
1,見る,"miru - see, look at"
2,多い,"ooi - a lot of, many"
3,家,"ie - home, household"
4,これ,"kore - this, this one"
5,それ,"sore - that, that one"
6,私,watashi - I
7,仕事,"shigoto - work, job"
8,いつ,itsu - when
9,する,"suru - do, make"
10,出る,"deru - go out, leave"
11,使う,"tsukau - use, make use of"
12,所,tokoro - place
13,作る,"tsukuru - make, create"
14,思う,omou - think
15,持つ,"motsu - have, possess"
16,買う,kau - buy
17,時間,"jikan - time, hour"
18,知る,shiru - know
19,同じ,"onaji - same, identical"
20,今,ima - now
21,新しい,atarashii - new
22,なる,naru - become
23,まだ,"mada - (not) yet, still"
24,あと,ato - after
25,聞く,"kiku - hear, ask"
26,言う,"iu - say, tell"
27,少ない,"sukunai - few, little"
28,高い,"takai - high, tall"
29,子供,kodomo - child
30,そう,"sou - so, that way"
31,もう,"mou - already, yet"
32,学生,gakusei - student
33,熱い,atsui - hot (to touch)
34,どうぞ,douzo - please
35,午後,"gogo - afternoon, p.m."
36,長い,nagai - long
37,本,"hon - book, volume"
38,今年,kotoshi - this year (colloquial)
39,よく,"yoku - often, well"
40,彼女,"kanojo - she, one’s girlfriend"
41,どう,"dou - how, what"
42,言葉,"kotoba - word, language"
43,顔,kao - face
44,終わる,"owaru - finish, end"
45,一つ,hitotsu - one (thing)
46,あげる,"ageru - give, offer (colloquial)"
47,こう,"kou - like this, such"
48,学校,gakkou - school
49,くれる,kureru - be given
50,始める,hajimeru - start (something)
51,起きる,"okiru - get up, get out of bed"
52,春,haru - spring
53,午前,"gozen - morning, a.m."
54,別,"betsu - another, different"
55,どこ,doko - where
56,部屋,heya - room
57,若い,wakai - young
58,車,"kuruma - car, automobile"
59,置く,"oku - put, place"
60,住む,"sumu - live, reside"
61,働く,hataraku - work
62,難しい,muzukashii - difficult
63,先生,sensei - teacher
64,立つ,"tatsu - stand, rise"
65,呼ぶ,"yobu - call, name"
66,大学,"daigaku - university, college"
67,安い,"yasui - cheap, inexpensive"
68,もっと,motto - more
69,帰る,kaeru - go back home
70,分かる,wakaru - understand
71,広い,"hiroi - wide, big"
72,数,suu - number
73,近い,"chikai - near, close"
74,そこ,soko - there
75,走る,hashiru - run
76,入れる,ireru - put in
77,教える,"oshieru - teach, tell"
78,歩く,"aruku - walk, go on foot"
79,会う,au - meet
80,書く,kaku - write
81,頭,atama - head
82,売る,uru - sell
83,大好き,daisuki - like (something) a lot
84,体,"karada - body, physique"
85,直ぐ,"sugu - at once, soon"
86,飛ぶ,tobu - fly
87,とても,totemo - very (colloquial)
88,誰,dare - who
89,好き,"suki - favorite, liked"
90,読む,yomu - read
91,次,tsugi - next
92,あなた,anata - you
93,飲む,nomu - drink
94,古い,furui - old
95,質問,shitsumon - question
96,今日,kyou - today (colloquial)
